state,year,quarter,regime,group,n_plants,co2_tons,gross_mwh,co2_lb_per_mwh,nameplate_mw,gross_mwh_capmatched,capacity_factor
DE,2021,4,oblig_2021q1_2022q2,covered,9.0,422624.052,786901.04,1074.1479055612888,3363.5,786901.04,0.10595699140172742
DE,2022,1,oblig_2021q1_2022q2,all,9.0,404506.921,583786.26,1385.8048697480478,3271.7,583786.26,0.08260886287455044
DE,2022,1,oblig_2021q1_2022q2,covered,9.0,404506.921,583786.26,1385.8048697480478,3271.7,583786.26,0.08260886287455044
DE,2022,2,oblig_2021q1_2022q2,all,11.0,443538.06399999995,791172.84,1121.2166079917504,3306.3999999999996,791172.84,0.10956285578684563
DE,2022,2,oblig_2021q1_2022q2,covered,9.0,443538.064,791172.1000000001,1121.21765668936,3271.7,791172.1000000001,0.11072478758620521
DE,2022,2,oblig_2021q1_2022q2,not_covered,2.0,0.0,0.74,0.0,34.7,0.74,9.76449103250256e-06
DE,2022,3,oblig_2022q3_2023q4,all,11.0,908757.389,1761846.97,1031.5962787619403,3306.3999999999996,1761846.97,0.2413313390127009
DE,2022,3,oblig_2022q3_2023q4,covered,9.0,908757.389,1761787.2400000002,1031.6312530450612,3271.7,1761787.2400000002,0.2438826566253506
DE,2022,3,oblig_2022q3_2023q4,not_covered,2.0,0.0,59.73,0.0,34.7,59.73,0.0007795858914922941
DE,2022,4,oblig_2022q3_2023q4,all,9.0,513100.20699999994,938702.25,1093.211840069628,3271.7,938702.25,0.12994372607114238
DE,2022,4,oblig_2022q3_2023q4,covered,9.0,513100.20699999994,938702.25,1093.211840069628,3271.7,938702.25,0.12994372607114238
DE,2023,1,oblig_2022q3_2023q4,all,9.0,277789.648,498720.98,1114.00826971426,3271.7,498720.98,0.07057167301176531
DE,2023,1,oblig_2022q3_2023q4,covered,9.0,277789.648,498720.98,1114.00826971426,3271.7,498720.98,0.07057167301176531
DE,2023,2,oblig_2022q3_2023q4,all,11.0,419276.39300000004,790886.11,1060.2699622579034,3306.3999999999996,790886.11,0.10952314896672809
DE,2023,2,oblig_2022q3_2023q4,covered,9.0,419276.39300000004,790830.6399999999,1060.3443311199983,3271.7,790830.6399999999,0.11067700015036261
DE,2023,2,oblig_2022q3_2023q4,not_covered,2.0,0.0,55.47,0.0,34.7,55.47,0.0007319409696931311
DE,2023,3,oblig_2022q3_2023q4,all,11.0,818106.1170000001,1334808.6300000001,1225.8028583468179,3306.3999999999996,1334808.6300000001,0.1828371927237295
DE,2023,3,oblig_2022q3_2023q4,covered,9.0,818106.117,1334695.46,1225.906795247509,3271.7,1334695.46,0.18476071751467238
DE,2023,3,oblig_2022q3_2023q4,not_covered,2.0,0.0,113.16999999999999,0.0,34.7,113.16999999999999,0.001477075763271102
DE,2023,4,oblig_2022q3_2023q4,all,9.0,295355.82,437281.49,1350.8727296003315,3271.7,437281.49,0.060532491695360256
DE,2023,4,oblig_2022q3_2023q4,covered,9.0,295355.82,437281.49,1350.8727296003315,3271.7,437281.49,0.060532491695360256
DE,2024,1,oblig_2024q1_2026q2,all,9.0,346593.026,510349.15,1358.2584628582217,3271.7,510349.15,0.07142352621958026
DE,2024,1,oblig_2024q1_2026q2,covered,9.0,346593.026,510349.15,1358.2584628582217,3271.7,510349.15,0.07142352621958026
DE,2024,2,oblig_2024q1_2026q2,all,11.0,512933.70100000006,749718.7899999999,1368.3362557846526,3306.3999999999996,749718.7899999999,0.10382223392483796
DE,2024,2,oblig_2024q1_2026q2,covered,9.0,512933.701,749664.21,1368.4358787783133,3271.7,749664.21,0.10491574514979778
DE,2024,2,oblig_2024q1_2026q2,not_covered,2.0,0.0,54.58,0.0,34.7,54.58,0.0007201971899378239
DE,2024,3,oblig_2024q1_2026q2,all,11.0,706382.7370000001,1250664.17,1129.6121755850736,3306.3999999999996,1250664.17,0.17131139306684973
DE,2024,3,oblig_2024q1_2026q2,covered,9.0,706382.7370000001,1250379.82,1129.8690617063862,3271.7,1250379.82,0.17308897769762918
DE,2024,3,oblig_2024q1_2026q2,not_covered,2.0,0.0,284.35,0.0,34.7,284.35,0.0037112882679697615
DE,2024,4,oblig_2024q1_2026q2,all,9.0,469614.76800000004,754735.28,1244.4489622904605,3271.7,754735.28,0.10447734037129128
DE,2024,4,oblig_2024q1_2026q2,covered,9.0,469614.76800000004,754735.28,1244.4489622904605,3271.7,754735.28,0.10447734037129128
DE,2025,1,oblig_2024q1_2026q2,all,9.0,674387.0119999999,883074.9500000002,1527.3607568644084,2974.7,883074.9500000002,0.13743604241448565
DE,2025,1,oblig_2024q1_2026q2,covered,9.0,674387.0119999999,883074.9500000002,1527.3607568644084,2974.7,883074.9500000002,0.13743604241448565
DE,2025,2,oblig_2024q1_2026q2,all,11.0,367435.718,645458.8700000001,1138.525582582822,2860.8999999999996,645458.8700000001,0.10330307792688515
