facilityId,unitId,stateCode,year,quarter,gross_mwh,co2_tons,rggi_obligated,camd_rggi_program,coats_unit_match,coats_facility_match,source,yoy_pct_applied
544,12,CT,2024,2,43.8,57.6,True,True,True,True,cems_actual,
544,12,CT,2024,3,254.85,266.7,True,True,True,True,cems_actual,
544,12,CT,2024,4,66.89,93.6,True,True,True,True,cems_actual,
544,12,CT,2025,1,43.4,68.8,True,True,True,True,cems_actual,
544,12,CT,2025,2,548.42,520.1,True,True,True,True,cems_actual,
544,12,CT,2025,3,72.5,91.7,True,True,True,True,cems_actual,
544,12,CT,2025,4,227.37,279.7,True,True,True,True,cems_actual,
544,12,CT,2026,1,45.1399163717373,71.55820844183239,True,True,True,True,cems_extended,0.040090238980122095
544,12,CT,2026,2,1029.0313355814517,975.8929244664912,True,True,True,True,cems_extended,0.8763563246808136
544,12,CT,2026,3,141.96162604154713,179.5569808001362,True,True,True,True,cems_extended,0.9580913936765122
544,12,CT,2026,4,369.45287141742153,454.4837407549492,True,True,True,True,cems_extended,0.6248971782443663
544,13,CT,2020,1,44.84,60.3,True,True,True,True,cems_actual,
544,13,CT,2020,2,105.27,199.1,True,True,True,True,cems_actual,
544,13,CT,2020,3,218.2,296.6,True,True,True,True,cems_actual,
544,13,CT,2020,4,356.36,301.7,True,True,True,True,cems_actual,
544,13,CT,2021,1,70.22,87.1,True,True,True,True,cems_actual,
544,13,CT,2021,2,87.46,146.4,True,True,True,True,cems_actual,
544,13,CT,2021,3,482.37,594.2,True,True,True,True,cems_actual,
544,13,CT,2021,4,14.33,21.7,True,True,True,True,cems_actual,
544,13,CT,2022,1,131.19,215.3,True,True,True,True,cems_actual,
544,13,CT,2022,2,114.0,126.6,True,True,True,True,cems_actual,
544,13,CT,2022,3,462.85,752.3,True,True,True,True,cems_actual,
544,13,CT,2022,4,131.1,211.9,True,True,True,True,cems_actual,
544,13,CT,2023,1,161.7,235.6,True,True,True,True,cems_actual,
544,13,CT,2023,2,151.28,157.8,True,True,True,True,cems_actual,
544,13,CT,2023,3,141.41,161.3,True,True,True,True,cems_actual,
544,13,CT,2023,4,108.21,96.5,True,True,True,True,cems_actual,
544,13,CT,2024,1,33.5,41.4,True,True,True,True,cems_actual,
544,13,CT,2024,2,79.83,94.6,True,True,True,True,cems_actual,
544,13,CT,2024,3,230.51,258.9,True,True,True,True,cems_actual,
544,13,CT,2024,4,18.0,24.3,True,True,True,True,cems_actual,
544,13,CT,2025,1,78.59,95.3,True,True,True,True,cems_actual,
544,13,CT,2025,2,521.44,482.6,True,True,True,True,cems_actual,
544,13,CT,2025,3,102.88,134.5,True,True,True,True,cems_actual,
544,13,CT,2025,4,220.93,242.4,True,True,True,True,cems_actual,
544,13,CT,2026,1,81.7406918814478,99.12059977480563,True,True,True,True,cems_extended,0.040090238980122095
544,13,CT,2026,2,978.4072419415636,905.5295622909607,True,True,True,True,cems_extended,0.8763563246808136
544,13,CT,2026,3,201.44844258143956,263.3632924494909,True,True,True,True,cems_extended,0.9580913936765122
544,13,CT,2026,4,358.98853358952783,393.87507600643437,True,True,True,True,cems_extended,0.6248971782443663
544,14,CT,2020,1,39.22,57.7,True,True,True,True,cems_actual,
544,14,CT,2020,2,194.49,277.1,True,True,True,True,cems_actual,
544,14,CT,2020,3,86.66,101.1,True,True,True,True,cems_actual,
544,14,CT,2020,4,329.23,278.2,True,True,True,True,cems_actual,
544,14,CT,2021,1,34.26,53.1,True,True,True,True,cems_actual,
544,14,CT,2021,2,56.32,57.1,True,True,True,True,cems_actual,
544,14,CT,2021,3,393.06,443.5,True,True,True,True,cems_actual,
544,14,CT,2021,4,17.8,38.9,True,True,True,True,cems_actual,
544,14,CT,2022,1,69.08,79.3,True,True,True,True,cems_actual,
544,14,CT,2022,2,187.59,263.2,True,True,True,True,cems_actual,
544,14,CT,2022,3,429.13,727.3,True,True,True,True,cems_actual,
544,14,CT,2022,4,379.13,507.0,True,True,True,True,cems_actual,
544,14,CT,2023,1,10.07,30.8,True,True,True,True,cems_actual,
544,14,CT,2023,2,239.87,252.4,True,True,True,True,cems_actual,
544,14,CT,2023,3,92.01,112.1,True,True,True,True,cems_actual,
544,14,CT,2023,4,126.59,160.1,True,True,True,True,cems_actual,
544,14,CT,2024,1,35.49,42.8,True,True,True,True,cems_actual,
544,14,CT,2024,2,79.73,97.8,True,True,True,True,cems_actual,
544,14,CT,2024,3,241.68,265.7,True,True,True,True,cems_actual,
544,14,CT,2024,4,145.51,144.1,True,True,True,True,cems_actual,
544,14,CT,2025,1,102.58,140.6,True,True,True,True,cems_actual,
544,14,CT,2025,2,629.24,562.4,True,True,True,True,cems_actual,
544,14,CT,2025,3,50.18,91.0,True,True,True,True,cems_actual,
544,14,CT,2025,4,236.98,249.1,True,True,True,True,cems_actual,
544,14,CT,2026,1,106.69245671458093,146.23668760060517,True,True,True,True,cems_extended,0.040090238980122095
544,14,CT,2026,2,1180.6784537421552,1055.2627970004896,True,True,True,True,cems_extended,0.8763563246808136
544,14,CT,2026,3,98.2570261346874,178.18631682456262,True,True,True,True,cems_extended,0.9580913936765122
544,14,CT,2026,4,385.06813330034987,404.76188710067163,True,True,True,True,cems_extended,0.6248971782443663
544,15,CT,2020,1,222.32,163.665,True,True,True,True,cems_actual,
