stateCode,facilityName,facilityId,unitId,associatedStacks,year,quarter,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo,camd_rggi_program,coats_unit_match,coats_facility_match,rggi_obligated,co2_intensity_st_per_mwh,co2_intensity_lb_per_mwh,co2_intensity_kg_per_mwh
CT,Devon,544,14,,2025,4,13,7.69,236.98,,0.062,0.0403,249.1,0.0806,1.199,0.9512,3076.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, RGGI, SIPNOX",True,True,True,True,1.0511435564182632,2102.2871128365264,953.5813939319775
CT,Devon,544,15,,2020,1,14,5.64,222.32,,0.001,0.0009,163.665,0.0764,0.017,0.0156,2180.373,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7361685858222382,1472.3371716444765,667.8409071253149
CT,Devon,544,15,,2020,2,25,15.33,565.2,,0.002,0.0008,425.157,0.0784,0.051,0.0169,5394.406,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7522239915074309,1504.4479830148618,682.4061261574309
CT,Devon,544,15,,2020,3,57,38.73,1347.55,,0.004,0.0007,1001.578,0.0769,0.076,0.0092,13297.179,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7432585061778784,1486.5170123557568,674.272774679767
CT,Devon,544,15,,2020,4,7,4.72,190.84,,0.0,0.0007,143.123,0.081,0.007,0.0077,1764.643,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7499633200586878,1499.9266401173757,680.3552795169775
CT,Devon,544,15,,2021,1,3,1.88,75.79,,0.0,0.001,55.925,0.081,0.003,0.0067,688.884,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7378941812904076,1475.7883625808151,669.4063410014513
CT,Devon,544,15,,2021,2,15,7.34,185.35,,0.001,0.0009,159.674,0.081,0.006,0.0053,1969.057,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.8614728891286756,1722.945778257351,781.5150589412464
CT,Devon,544,15,,2021,3,24,15.61,612.73,,0.002,0.001,470.184,0.081,0.028,0.0078,5795.695,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7673591957305829,1534.7183914611658,696.136552465458
CT,Devon,544,15,,2021,4,13,6.91,280.01,,0.007,0.0057,212.137,0.081,0.015,0.008,2613.63,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7576050855326596,1515.2101710653192,687.2877725416236
CT,Devon,544,15,,2022,1,6,4.88,166.9,,0.001,0.001,128.204,0.081,0.005,0.006,1579.32,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7681485919712403,1536.2971839424806,696.8526806887958
CT,Devon,544,15,,2022,2,10,6.61,270.66,,0.001,0.0009,222.649,0.081,0.017,0.0097,2743.784,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.822615089041602,1645.230178083204,746.2638556722826
CT,Devon,544,15,,2022,3,4,2.57,91.05,,0.0,0.0008,79.516,0.081,0.004,0.008,980.639,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.8733223503569468,1746.6447007138936,792.2647093447557
CT,Devon,544,15,,2022,4,19,10.24,364.62,,0.001,0.0009,267.433,0.0795,0.013,0.0072,3386.306,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7334567494926224,1466.9134989852448,665.3807705897099
CT,Devon,544,15,,2023,1,16,9.39,359.78,,0.001,0.0008,298.084,0.0811,0.019,0.0088,3674.606,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.8285174273166936,1657.0348546333873,751.6183668857636
CT,Devon,544,15,,2023,2,14,9.82,435.48,,0.001,0.0009,358.416,0.081,0.032,0.0125,4417.672,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.8230366492146597,1646.0732984293193,746.6462886282723
CT,Devon,544,15,,2023,3,35,22.3,863.37,,0.003,0.0009,739.552,0.081,0.055,0.0103,9112.981,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.8565875580573798,1713.1751161147597,777.0831611435191
CT,Devon,544,15,,2023,4,6,2.9,112.69,,0.0,0.001,85.464,0.081,0.005,0.0068,1052.603,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.758399148105422,1516.798296210844,688.0081339902388
CT,Devon,544,15,,2024,1,0,0.0,,,,,,,,,,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,,,
CT,Devon,544,15,,2024,2,7,3.3,138.52,,0.0,0.0006,110.009,0.081,0.009,0.0089,1356.167,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7941741264799307,1588.3482529598614,720.462648445423
CT,Devon,544,15,,2024,3,34,20.95,785.12,,0.002,0.0004,588.81,0.0785,0.033,0.0077,7442.196,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7499617892806194,1499.9235785612389,680.3538908184735
CT,Devon,544,15,,2024,4,20,8.67,308.38,,0.001,0.0004,262.688,0.0811,0.017,0.0075,3236.904,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.8518321551332771,1703.6643102665544,772.7691321782218
CT,Devon,544,15,,2025,1,19,10.77,441.29,,0.001,0.0008,319.845,0.0811,0.016,0.0068,3942.964,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7247954859616126,1449.5909719232252,657.5234044852592
CT,Devon,544,15,,2025,2,37,29.53,1339.86,,0.004,0.001,907.772,0.0733,0.057,0.0084,12456.809,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.67751257594077,1355.0251518815398,614.6290700515577
CT,Devon,544,15,,2025,3,31,27.57,1123.65,,0.003,0.0009,802.082,0.0748,0.06,0.0104,10646.523,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7138183598095492,1427.6367196190984,647.5651231510524
CT,Devon,544,15,,2025,4,30,19.3,672.65,,0.002,0.001,579.301,0.081,0.082,0.022,7141.629,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.8612220322604625,1722.444064520925,781.2874854184793
CT,Devon,544,16,,2020,1,5,1.77,61.88,,0.0,0.0008,46.403,0.081,0.005,0.0138,571.486,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7498868778280543,1499.7737556561085,680.2859322918553
CT,Devon,544,16,,2020,2,27,15.65,488.15,,0.001,0.0009,369.954,0.0777,0.037,0.0128,4813.375,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7578695073235686,1515.7390146471373,687.5276519552597
CT,Devon,544,16,,2020,3,50,37.5,1377.08,,0.003,0.0006,990.995,0.0762,0.073,0.0097,13197.233,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7196350248351585,1439.2700496703171,652.8419128999768
CT,Devon,544,16,,2020,4,16,9.71,388.27,,0.001,0.0008,286.131,0.081,0.013,0.0073,3526.118,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.736938213099132,1473.876426198264,668.5391012464007
CT,Devon,544,16,,2021,1,10,5.12,219.04,,0.001,0.001,153.791,0.081,0.007,0.0069,1895.638,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.70211376917458,1404.22753834916,636.9468971390614
CT,Devon,544,16,,2021,2,28,15.25,470.0,,0.001,0.0009,373.841,0.081,0.015,0.0059,4607.828,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7954063829787235,1590.812765957447,721.5805327368937
CT,Devon,544,16,,2021,3,31,20.91,724.88,,0.004,0.0016,565.12,0.081,0.024,0.0063,6963.745,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7796049001213994,1559.2098002427988,707.2456686193577
CT,Devon,544,16,,2021,4,14,7.9,326.95,,0.008,0.0056,241.101,0.0811,0.011,0.0067,2971.194,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7374246826731916,1474.8493653463831,668.9804190204619
CT,Devon,544,16,,2022,1,6,4.88,161.9,,0.0,0.001,122.646,0.081,0.005,0.0063,1512.466,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.7575416924027177,1515.0833848054356,687.2302632615194
